"WTG_number","project_id","WTG_Type_id","Region_id","kW","hub","rotor","altitude","COD","zip_code","WGS_84_north","WGS_84_east","gauss_krueger_zone","gauss_krueger_north","gauss_krueger_east","town_id"
"V18385",14,"V80","Lower Saxony",2000,100,80,NULL,"2004-06-04","27333",52.736747,9.175147,3,5844898.115,3511906.239,"Schweringen"
"E78322",13,"E-70","Lower Saxony",2000,84,71,NULL,"2006-01-10","27321",52.935972,9.025472,3,5867054.307,3501788.663,"Thedinghausen"
"E78325",13,"E-70","Lower Saxony",2000,84,71,NULL,"2006-01-19","27321",52.937639,9.032111,3,5867239.998,3502234.961,"Thedinghausen"
"E78324",13,"E-70","Lower Saxony",2000,84,71,NULL,"2006-01-26","27321",52.935665,9.037253,3,5867020.489,3502580.79,"Thedinghausen"
"V23001",12,"V80","Saxony-Anhalt",2000,100,80,NULL,"2005-12-30","39435",51.980681,11.462578,4,5760881.782,4463177.53,"Egeln"
"E78326",13,"E-70","Lower Saxony",2000,84,71,NULL,"2005-12-30","27321",52.939778,9.037417,3,5867478.208,3502591.578,"Thedinghausen"
"V23022",12,"V80","Saxony-Anhalt",2000,60,80,NULL,"2005-12-29","39435",51.985628,11.445186,4,5761438.82,4461990.478,"Egeln"
"E78327",13,"E-70","Lower Saxony",2000,84,71,NULL,"2005-12-27","27321",52.94275,9.040944,3,5867809.075,3502828.511,"Thedinghausen"
"V23008",12,"V80","Saxony-Anhalt",2000,78,80,NULL,"2005-12-20","39435",51.983567,11.463942,4,5761208.648,4463274.622,"Egeln"
"V23009",12,"V80","Saxony-Anhalt",2000,78,80,NULL,"2005-12-19","39435",51.984328,11.459689,4,5761288.647,4462989.606,"Egeln"
"V23003",12,"V80","Saxony-Anhalt",2000,60,90,NULL,"2005-12-19","39435",51.974142,11.448536,4,5760158.876,4462208.178,"Egeln"
"V23002",12,"V80","Saxony-Anhalt",2000,100,80,NULL,"2005-12-19","39435",51.978731,11.460331,4,5760670.377,4463025.76,"Egeln"
"V21420",12,"V80","Saxony-Anhalt",3000,60,90,NULL,"2005-12-19","39435",51.973647,11.443614,4,5760113.361,4461872.817,"Egeln"
"E78320",13,"E-70","Lower Saxony",2000,84,71,NULL,"2005-12-16","27321",52.941667,9.01675,3,5867687.901,3501202.081,"Thedinghausen"
"V23000",12,"V80","Saxony-Anhalt",2000,100,80,NULL,"2005-12-14","39435",51.981172,11.466036,4,5760939.083,4463419.742,"Egeln"
"E78319",13,"E-70","Lower Saxony",2000,84,71,NULL,"2005-12-14","27321",52.937278,9.017833,3,5867199.49,3501275.01,"Thedinghausen"
"V18386",14,"V80","Lower Saxony",2000,100,80,NULL,"2004-05-29","27333",52.738192,9.171519,3,5845039.163,3511651.8,"Schweringen"
"V18394",14,"V80","Lower Saxony",2000,100,80,NULL,"2005-07-21","31609",52.727588,9.168631,3,5843877.845,3511468.507,"Sebbenhausen"
"V18410",14,"V80","Lower Saxony",2000,100,80,NULL,"2004-11-12","27333",52.732619,9.164933,3,5844437.119,3511217.393,"Schweringen"
"V18320",21,"V66","Lower Saxony",1650,117,66,NULL,"2004-05-25","27308",52.979547,9.287644,3,5871941.967,3519396.646,"Mettlach"
"V18387",14,"V80","Lower Saxony",2000,100,80,NULL,"2004-05-29","27333",52.734329,9.175855,3,5844629.155,3511954.718,"Schweringen"
"E70788",9,"E-66/18.70","Saxony-Anhalt",1800,98,70,90,"2002-08-07","06780",51.639606,12.162081,4,5722813.131,4511326.901,"Roitzsch"
"V70814 (18966)",17,"NM82","Lower Saxony",1500,1086,82,NULL,"2004-12-19","31604",52.406416,8.931468,3,5808127.481,3495412.147,"Harrienstedt"
"E701303",16,"E-66","Saarland",1800,86,70,NULL,"2003-11-30","66693",49.456815,6.49061,2,5480110.797,2535614.616,"Mettlach"
"E701305",16,"E-66","Saarland",1800,86,70,NULL,"2003-10-10","66693",49.458344,6.498128,2,5480284.423,2536158.545,"Mettlach"
"15550892",15,"Enron TW 1","Saxony-Anhalt",1500,96,77,123,"2002-08-07","39343",52.18932,11.39759,4,5784135.805,4458909.233,"Schackensleben"
"V18396",14,"V80","Lower Saxony",2000,100,80,NULL,"2005-07-23","31609",52.72737,9.164262,3,5843852.904,3511173.399,"Sebbenhausen"
